PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
69.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,567.0,527.0,454.0,388.0,406.0,535.0,558.0,663.0,613.0,540.0,449.0,542.0,525.0,456,608,538,637,708,558
70.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,918.0,941.0,967.0,858.0,1038.0,1117.0,1203.0,1352.0,1186.0,1081.0,978.0,973.0,852.0,854,914,945,955,967,933
71.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1121.0,1071.0,997.0,674.0,890.0,894.0,930.0,979.0,736.0,798.0,799.0,760.0,759.0,720,768,759,801,733,690
72.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1032.0,949.0,782.0,675.0,682.0,678.0,722.0,627.0,807.0,688.0,712.0,589.0,522.0,529,532,587,657,691,664
73.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1553.0,1552.0,1361.0,1240.0,1447.0,1702.0,1582.0,1792.0,1698.0,1678.0,1746.0,1920.0,1993.0,1735,1799,1759,1844,1443,1560
75.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,3130.0,3026.0,2574.0,2245.0,2508.0,2776.0,2564.0,2690.0,2526.0,2480.0,2270.0,2571.0,2548.0,2513,2484,2433,2389,2236,1918
76.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,411.0,440.0,372.0,381.0,453.0,478.0,518.0,465.0,446.0,398.0,335.0,305.0,357.0,315,319,283,432,473,505
77.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1475.0,1516.0,1253.0,1158.0,1097.0,1470.0,1617.0,1644.0,1474.0,1229.0,1103.0,1221.0,1102.0,1008,1087,924,916,1017,974
78.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,327.0,314.0,180.0,163.0,270.0,359.0,346.0,282.0,344.0,261.0,241.0,206.0,224.0,254,272,283,293,247,265
79.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1709.0,1797.0,1521.0,1070.0,1116.0,1381.0,1399.0,1515.0,1588.0,1428.0,1246.0,1194.0,1161.0,1299,1154,1053,976,1049,1227
81.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1021.0,1026.0,844.0,599.0,774.0,862.0,996.0,1054.0,1099.0,1079.0,863.0,902.0,908.0,944,946,850,774,701,624
83.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1964.0,1753.0,1584.0,1408.0,1351.0,1563.0,1408.0,1511.0,1600.0,1406.0,1201.0,1180.0,1084.0,1099,967,898,842,823,763
84.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,475.0,490.0,556.0,430.0,388.0,455.0,476.0,498.0,565.0,520.0,406.0,419.0,390.0,467,468,515,450,566,546
88.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,581.0,669.0,512.0,420.0,414.0,466.0,535.0,697.0,636.0,464.0,414.0,347.0,424.0,429,440,431,472,403,344
90.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1022.0,877.0,865.0,706.0,684.0,877.0,859.0,797.0,810.0,757.0,777.0,746.0,636.0,731,740,763,727,809,797
94.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,308.0,306.0,287.0,235.0,280.0,245.0,282.0,297.0,321.0,396.0,388.0,312.0,338.0,379,347,276,338,353,392
100.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,222.0,235.0,272.0,344.0,378.0,373.0,305.0,355.0,374.0,393.0,388.0,387.0,428.0,334,418,488,601,567,497
101.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,703.0,607.0,593.0,498.0,589.0,658.0,660.0,650.0,554.0,485.0,567.0,579.0,535.0,618,714,824,819,860,776
102.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,699.0,590.0,593.0,597.0,712.0,605.0,656.0,677.0,808.0,778.0,703.0,623.0,629.0,729,565,664,812,599,678
103.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1427.0,1145.0,969.0,813.0,946.0,1072.0,1033.0,1008.0,1142.0,1075.0,1132.0,1084.0,1240.0,1552,1284,1261,1232,911,888
104.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,755.0,720.0,886.0,705.0,876.0,934.0,1102.0,858.0,716.0,764.0,814.0,710.0,781.0,745,722,640,619,724,650
105.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,860.0,981.0,898.0,810.0,886.0,1053.0,1150.0,1033.0,906.0,888.0,951.0,1093.0,1035.0,987,1117,1158,1112,1054,971
106.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,753.0,707.0,625.0,504.0,698.0,662.0,681.0,909.0,732.0,694.0,681.0,627.0,653.0,743,777,824,895,825,837
107.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,419.0,383.0,440.0,398.0,483.0,520.0,600.0,447.0,468.0,391.0,436.0,417.0,426.0,401,433,419,474,515,526
